<<<<<<< HEAD
87 0.0021
41 0.0019
23 0.0015
73 0.0026
88 0.0021
16 0.0012
18 0.0018
23 0.0024
44 0.0031
80 0.0061
31 0.0044
95 0.0068
61 0.0053
50 0.0053
58 0.0032
72 0.0032
46 0.0022
41 0.002
103 0.0028
56 0.002
58 0.0021
105 0.0035
58 0.0026
=======
Archivo: 01.txt
60
54
56
24
8
34
21
12
83
22
27
53
19
32
74
87
87
168
72
77
9
102
48
69
101
74
33
74
40
84
58
34
22
72
32
34
30
42
52
18
72
44
42
84
70
39
83
52
20
86
37
144
86
124
63
26
55
114
67
34
110
73
62
74
52
53
53
76
36
58
36
41
87
57
14
69
77
95
83
82
64
42
28
84
25
86
108
66
52
95
49
109
109
38
112
50
49
103
23
54
26
55
61
30
25
74
28
26
77
74
35
18
9
20
16
52
148
82
45
78
69
83
66
20
61
47
70
32
62
84
93
84
44
52
89
103
31
58
27
65
23
32
48
34
44
53
24
86
64
77
32
68
76
37
93
18
70
129
39
99
48
18
53
35
46
123
56
55
27
34
70
99
34
37
29
38
37
62
5
58
85
47
87
125
31
114
56
23
106
34
68
12
57
26
43
50
102
67
66
32
70
48
85
35
34
10
98
75
67
55
49
28
87
58
31
80
95
53
109
46
99
109
58
53
54
38
69
36
96
20
58
126
31
35
48
72
78
11
30
51
85
69
11
19
14
78
33
27
93
21
131
77
58
102
62
50
34
34
23
33
51
19
73
56
78
50
26
65
121
56
152
80
50
32
31
61
43
59
115
67
20
53
31
41
57
84
54
83
90
23
94
36
57
33
87
39
26
24
93
90
50
83
58
25
63
75
35
111
96
92
42
19
29
26
13
13
79
94
114
42
141
47
22
7
54
107
60
59
65
108
40
67
82
38
37
36
51
17
128
38
46
32
72
101
40
32
52
15
41
98
82
54
43
48
51
41
64
44
33
41
66
114
23
64
31
18
93
41
70
125
77
25
73
87
67
53
125
73
34
78
55
80
45
57
67
77
40
6
75
109
39
48
41
73
25
36
79
34
22
31
5
42
60
11
111
41
62
47
35
24
20
30
17
78
85
79
70
21
134
38
64
35
36
37
48
59
106
73
76
77
83
31
36
118
22
102
66
4
39
68
76
71
61
95
46
25
44
25
70
33
14
18
37
51
57
17
90
71
31
50
60
80
87
29
23
63
25
35
30
10
88
143
28
58
137
67
69
72
16
65
8
18
99
65
57
49
79
79
99
28
74
55
28
106
49
28
41
27
58
25
11
51
84
27
17
98
65
95
91
23
16
111
120
64
21
3
71
72
64
62
27
54
44
65
40
95
32
95
21
22
72
32
25
29
47
46
89
50
61
117
61
18
54
7
33
37
57
44
53
39
57
16
53
23
68
74
88
41
81
62
42
34
23
72
44
17
51
118
26
155
83
45
53
20
58
47
99
48
67
118
36
36
41
10
67
56
55
50
117
39
65
41
72
65
42
50
47
39
61
38
46
56
32
54
114
39
25
57
40
83
64
18
38
47
83
48
42
52
80
69
31
20
13
37
20
65
16
36
50
35
11
55
41
65
43
42
46
121
78
24
24
57
12
57
71
58
54
33
60
53
82
21
89
32
67
70
48
4
27
22
36
54
18
64
54
54
20
38
43
109
80
41
19
38
95
11
55
97
57
77
57
51
97
74
123
85
41
48
62
37
114
65
68
43
67
80
55
8
99
25
82
116
26
72
88
66
78
76
20
145
57
57
21
44
50
40
70
15
26
34
29
135
41
98
38
77
49
51
41
41
16
109
122
44
18
78
69
65
56
84
52
30
15
80
135
46
107
73
85
30
24
13
26
109
66
52
34
28
136
56
85
57
28
49
121
62
6
97
29
79
80
63
34
19
35
106
69
37
8
93
55
54
66
27
35
9
32
20
53
59
78
67
51
76
78
48
20
17
90
82
35
36
133
39
6
60
49
56
58
131
66
47
28
108
108
9
56
74
41
16
33
19
96
77
97
87
75
75
97
60
33
66
86
104
62
69
57
48
94
44
10
95
27
40
25
60
40
40
5
79
87
69
11
19
47
54
19
53
81
54
62
108
22
43
12
18
66
27
72
81
50
73
20
83
69
74
64
44
83
37
85
24
48
34
36
38
21
86
15
72
8
21
21
80
102
106
33
88
46
60
71
58
87
22
33
62
74
68
18
61
27
72
75
28
116
65
83
108
124
93
62
43
44
47
77
46
78
83
104
58
10
91
32
52
87
12
33
47
60
81
60
63
24
13
66
70
73
41
33
41
29
55
29
32
136
37
90
65
50
71
52
38
63
146
66
17
31
34
93
83
76
61
55
33
33
67
44
70
73
42
78
26
29
13
78
58
16
34
59
24
58
37
129
26
71
11
64
84
53
69
36
50
47
107
24
60
56
70
73
19
62
88
49
75
21
86
45
42
65
15
76
91
98
104
130
93
95
82
45
95
70
106
163
26
62
74
43
30
52
115
44
18
20
39
8
12
36
15
2
67
39
20
45
63
6
105
89
71
66
61
2
50
40
24
75
64
26
94
40
41
61
6
36
37
61
54
34
52
110
47
19
93
127
65
82
118
28
38
50
87
28
31
73
35
35
49
94
66
72
74
55
24
28
71
73
19
95
29
84
43
28
77
60
43
45
18
37
60
87
89
67
21
57
78
81
71
31
11
35
20
94
67
56
32
63
45
88
31
38
46
93
2
43
12
39
10
96
113
19
76
45
46
51
34
78
102
89
80
55
60
122
57
22
70
69
73
35
74
101
78
15
48
28
53
131
35
120
59
53
44
32
48
81
38
73
36
42
35
40
51
25
46
91
46
89
63
54
6
24
73
43
53
70
44
31
37
100
49
39
49
55
109
34
94
78
124
33
56
45
34
103
14
96
26
99
86
32
26
28
47
8
76
77
23
42
55
57
45
83
94
30
82
80
49
101
74
71
65
3
101
82
88
32
143
68
83
47
62
137
41
80
42
70
16
29
6
46
89
69
71
61
34
34
152
97
42
78
64
21
56
82
17
104
119
90
15
72
71
71
63
33
109
17
52
163
22
25
61
99
36
36
75
127
32
79
15
78
48
32
72
87
13
55
63
74
64
6
31
74
62
82
83
124
90
75
36
61
58
114
17
124
88
23
64
38
77
43
65
40
86
87
83
103
41
76
76
53
111
39
48
91
90
49
64
21
56
66
47
36
56
59
27
60
63
27
61
22
39
88
69
74
52
35
25
18
54
46
64
63
56
44
34
26
36
47
39
25
48
27
72
84
69
42
39
91
10
44
41
33
19
88
53
47
102
60
29
50
9
95
24
89
122
21
98
48
55
29
21
43
91
82
72
90
42
85
54
16
30
50
21
66
44
109
62
87
22
43
114
20
18
37
72
41
43
65
57
35
69
67
71
37
89
92
65
40
83
54
40
66
65
65
29
46
87
114
24
115
39
43
49
58
16
108
52
27
70
74
46
24
39
49
19
50
45
143
107
65
57
55
13
49
40
110
37
47
85
7
42
71
46
43
9
114
64
68
67
34
133
37
53
60
97
34
87
57
30
80
30
42
42
26
64
27
15
35
15
149
82
9
105
107
28
48
21
22
67
27
140
53
56
51
36
37
21
66
102
80
76
47
60
106
121
38
22
14
63
35
65
27
74
91
13
140
16
12
40
33
98
69
65
56
50
73
66
97
21
93
47
27
77
76
49
94
11
121
89
57
34
136
66
34
113
61
51
35
92
61
29
100
12
141
65
81
107
51
29
55
59
50
54
38
66
26
59
71
61
2
27
16
16
59
97
87
81
88
38
61
47
21
42
95
61
34
32
22
31
37
47
25
35
28
53
38
50
42
35
87
155
67
49
49
25
44
4
51
19
53
23
59
132
108
35
61
35
8
31
31
23
56
48
33
109
61
19
8
69
21
2
16
59
102
34
18
67
37
37
89
36
34
98
47
53
119
106
62
32
68
45
73
29
39
52
67
112
93
97
72
146
49
77
13
57
81
48
30
57
29
52
125
77
89
85
116
124
24
4
67
92
37
20
65
42
29
57
71
12
32
115
23
98
45
56
58
36
95
83
66
26
29
81
14
67
84
48
44
111
32
54
23
14
60
25
62
66
67
83
60
44
24
18
11
96
26
47
79
26
100
54
9
38
75
139
28
65
55
68
42
48
72
32
38
30
27
55
6
106
47
15
59
42
23
35
65
58
53
50
60
53
96
23
60
75
81
28
51
43
93
23
67
30
56
43
44
7
31
85
58
31
45
53
7
30
4
48
52
101
49
12
43
95
54
100
21
125
79
28
82
68
85
43
45
53
88
52
47
73
24
51
38
41
66
42
20
36
70
76
40
20
59
65
98
81
87
39
84
128
62
25
80
111
114
127
47
71
34
37
21
57
81
23
44
74
89
18
19
18
76
28
38
106
74
65
52
54
10
114
29
94
11
69
86
99
48
32
37
62
62
86
56
75
62
79
44
52
52
71
26
83
48
89
80
41
24
19
70
127
13
15
40
81
47
22
53
103
90
94
69
96
61
60
81
41
28
127
81
108
67
68
107
42
74
23
44
70
25
7
104
93
45
31
121
149
14
36
24
81
72
60
49
45
144
50
70
79
88
62
73
40
33
39
58
26
65
44
42
21
60
45
33
55
90
57
23
30
107
24
30
94
72
12
33
18
50
78
77
54
28
82
23
21
35
91
69
31
21
87
41
23
73
88
16
18
23
44
80
31
95
61
50
58
72
46
41
103
56
58
105
58
>>>>>>> b70d59a4a66baa4ff6a51fff10b8365b9f6679c2
